Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
0,00000480,false,Rx,0,8,1C,AC,00,00,19,40,00,E9,
0,00000580,false,Rx,0,8,80,00,00,14,1C,93,48,14,
0,00000588,false,Rx,0,8,0A,00,70,00,00,00,00,00,
0,00000284,false,Rx,0,6,00,00,00,00,00,00,00,00,
0,00000280,false,Rx,0,8,01,86,00,00,0D,00,28,0D,
0,00000288,false,Rx,0,8,2C,33,10,00,00,75,0D,86,
0,00000380,false,Rx,0,8,00,00,00,00,20,00,00,FE,
0,00000488,false,Rx,0,8,74,00,00,70,FE,FE,00,04,
0,00000480,false,Rx,0,8,1C,AC,00,00,19,40,00,E9,
0,00000284,false,Rx,0,6,01,01,00,00,00,00,00,00,
419000,00000588,false,Rx,0,8,0A,00,70,00,00,00,00,00,
0,00000280,false,Rx,0,8,01,00,00,00,0D,00,28,0D,
0,00000288,false,Rx,0,8,2C,33,10,00,00,75,0D,8D,
0,00000380,false,Rx,0,8,00,00,00,C1,20,00,00,FE,
0,00000488,false,Rx,0,8,93,0D,00,70,FE,FF,FF,10,
0,00000280,false,Rx,0,8,01,00,00,00,0D,00,28,0D,
0,00000288,false,Rx,0,8,2C,33,10,00,00,75,0D,8D,
0,00000380,false,Rx,0,8,00,00,00,C1,20,00,00,FE,
0,00000488,false,Rx,0,8,5C,0D,00,70,FE,FF,00,20,
0,00000480,false,Rx,0,8,1C,AC,00,00,19,40,00,E9,
0,00000284,false,Rx,0,6,02,02,00,00,00,00,00,00,
0,00000588,false,Rx,0,8,0A,00,70,00,00,00,00,00,
0,00000280,false,Rx,0,8,01,00,00,00,0D,00,28,0D,
0,00000288,false,Rx,0,8,2C,33,10,00,00,75,0D,89,
0,00000380,false,Rx,0,8,00,00,00,B9,20,00,00,FE,
0,00000488,false,Rx,0,8,4C,0D,00,70,FE,FF,00,30,
0,00000280,false,Rx,0,8,01,00,00,00,0D,00,28,0D,
0,00000288,false,Rx,0,8,64,33,10,00,00,75,0D,89,
0,00000380,false,Rx,0,8,00,00,00,B9,20,00,00,FE,
0,00000488,false,Rx,0,8,3C,0D,00,70,FE,FF,00,40,
0,00000480,false,Rx,0,8,1C,AC,00,00,19,40,00,E9,
0,00000284,false,Rx,0,6,03,03,00,00,00,00,00,00,
0,00000588,false,Rx,0,8,0A,00,70,00,00,00,00,00,
0,00000280,false,Rx,0,8,01,00,00,00,0D,00,28,0D,
0,00000288,false,Rx,0,8,64,33,11,00,00,75,0D,89,
0,00000380,false,Rx,0,8,00,00,00,B2,20,00,00,FE,
0,00000488,false,Rx,0,8,D3,0D,00,70,FE,FF,FF,50,
0,00000280,false,Rx,0,8,01,00,00,00,35,00,28,35,
0,00000288,false,Rx,0,8,64,33,11,00,00,75,85,89,
0,00000380,false,Rx,0,8,00,00,00,B2,20,00,00,FE,
0,00000488,false,Rx,0,8,DB,35,00,70,FE,FF,FF,60,
0,00000480,false,Rx,0,8,54,AC,00,00,19,40,00,A1,
0,00000284,false,Rx,0,6,04,04,00,00,00,00,00,00,
0,00000588,false,Rx,0,8,0A,00,70,00,00,00,00,00,
0,00000280,false,Rx,0,8,01,00,00,00,34,00,28,34,
0,00000288,false,Rx,0,8,64,33,11,00,00,75,85,8A,
0,00000380,false,Rx,0,8,00,00,00,AC,20,00,00,FE,
0,00000488,false,Rx,0,8,CA,34,00,70,FE,FF,FF,70,
0,00000280,false,Rx,0,8,01,00,00,00,34,00,28,34,
0,00000288,false,Rx,0,8,8A,33,11,00,00,75,85,8A,
0,00000380,false,Rx,0,8,00,00,00,AC,20,00,00,FE,
0,00000488,false,Rx,0,8,3A,34,00,70,FE,FF,FF,80,
0,00000480,false,Rx,0,8,54,AC,00,00,19,40,00,A1,
0,00000284,false,Rx,0,6,05,05,00,00,00,00,00,00,
0,00000588,false,Rx,0,8,0A,00,70,00,00,00,00,00,
0,00000280,false,Rx,0,8,01,00,00,00,34,00,28,34,
0,00000288,false,Rx,0,8,8A,33,11,00,00,75,85,8A,
0,00000380,false,Rx,0,8,00,00,00,A8,20,00,00,FE,
0,00000488,false,Rx,0,8,2A,34,00,70,FE,FF,FF,90,
0,00000280,false,Rx,0,8,01,00,00,00,34,00,28,34,
0,00000288,false,Rx,0,8,8A,33,11,00,00,75,85,8A,
0,00000380,false,Rx,0,8,00,00,00,A8,20,00,00,FE,
0,00000488,false,Rx,0,8,1A,34,00,70,FE,FF,FF,A0,
0,00000480,false,Rx,0,8,54,AC,00,00,19,40,00,A1,
0,00000284,false,Rx,0,6,06,06,00,00,00,00,00,00,
521000,00000588,false,Rx,0,8,0A,00,70,00,00,00,00,00,
0,00000280,false,Rx,0,8,01,00,00,00,34,00,28,34,
0,00000288,false,Rx,0,8,8A,33,11,00,00,75,85,8D,
0,00000380,false,Rx,0,8,00,00,00,A4,20,00,00,FE,
0,00000488,false,Rx,0,8,0A,34,00,70,FE,FF,FF,B0,
0,00000280,false,Rx,0,8,01,00,00,00,34,00,28,34,
0,00000288,false,Rx,0,8,E8,33,11,00,00,75,85,8D,
0,00000380,false,Rx,0,8,00,00,00,A4,20,00,00,FE,
0,00000488,false,Rx,0,8,7A,34,00,70,FE,FF,FF,C0,
0,00000480,false,Rx,0,8,54,AC,00,00,19,40,00,A1,
0,00000284,false,Rx,0,6,07,07,00,00,00,00,00,00,
542000,00000588,false,Rx,0,8,0A,00,70,00,00,00,00,00,
0,00000280,false,Rx,0,8,01,00,00,00,34,00,28,34,
0,00000288,false,Rx,0,8,E8,33,11,00,00,75,85,8D,
0,00000380,false,Rx,0,8,00,00,00,A2,20,00,00,FE,
550000,00000488,false,Rx,0,8,6A,34,00,70,FE,FF,FF,D0,
