Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
0,00000740,false,Rx,0,1,A3,00,00,00,00,00,00,00,
